scientific_name,taxon_id,iconic_taxon_name,kingdom,class,order,family,genus,species,common_name,taxon_rank
Conger orbignianus,611958,Actinopterygii,Animalia,Actinopterygii,Anguilliformes,Congridae,Conger,Conger orbignianus,Congrio,species
Odontesthes bonariensis,608791,Actinopterygii,Animalia,Actinopterygii,Atheriniformes,Atherinopsidae,Odontesthes,Odontesthes bonariensis,Pejerrey bonaerense,species
Odontesthes incisa,107356,Actinopterygii,Animalia,Actinopterygii,Atheriniformes,Atherinopsidae,Odontesthes,Odontesthes incisa,Cornalito,species
Odontesthes mirinensis,608796,Actinopterygii,Animalia,Actinopterygii,Atheriniformes,Atherinopsidae,Odontesthes,Odontesthes mirinensis,,species
Porichthys porosissimus,317478,Actinopterygii,Animalia,Actinopterygii,Batrachoidiformes,Batrachoididae,Porichthys,Porichthys porosissimus,Pez Sapo,species
Catathyridium lorentzii,607847,Actinopterygii,Animalia,Actinopterygii,Carangiformes,Achiridae,Catathyridium,Catathyridium lorentzii,,species
Parona signata,537564,Actinopterygii,Animalia,Actinopterygii,Carangiformes,Carangidae,Parona,Parona signata,Palometa,species
Trachurus lathami,179447,Actinopterygii,Animalia,Actinopterygii,Carangiformes,Carangidae,Trachurus,Trachurus lathami,charrito garretón,species
Paralichthys orbignyanus,470519,Actinopterygii,Animalia,Actinopterygii,Carangiformes,Paralichthyidae,Paralichthys,Paralichthys orbignyanus,Lenguado,species
Megaleporinus obtusidens,1015178,Actinopterygii,Animalia,Actinopterygii,Characiformes,Anostomidae,Megaleporinus,Megaleporinus obtusidens,Boga,species
Salminus brasiliensis,195917,Actinopterygii,Animalia,Actinopterygii,Characiformes,Bryconidae,Salminus,Salminus brasiliensis,Dorado,species
Astyanax fasciatus,179511,Actinopterygii,Animalia,Actinopterygii,Characiformes,Characidae,Astyanax,Astyanax fasciatus,Sardinita coli-roja,species
Astyanax lacustris,610189,Actinopterygii,Animalia,Actinopterygii,Characiformes,Characidae,Astyanax,Astyanax lacustris,,species
Astyanax laticeps,610191,Actinopterygii,Animalia,Actinopterygii,Characiformes,Characidae,Astyanax,Astyanax laticeps,,species
Bryconamericus iheringii,610308,Actinopterygii,Animalia,Actinopterygii,Characiformes,Characidae,Bryconamericus,Bryconamericus iheringii,Mojarra de Arroyo,species
Charax stenopterus,610378,Actinopterygii,Animalia,Actinopterygii,Characiformes,Characidae,Charax,Charax stenopterus,Dientudo transparente,species
Cheirodon interruptus,610382,Actinopterygii,Animalia,Actinopterygii,Characiformes,Characidae,Cheirodon,Cheirodon interruptus,Mojarrita,species
Hyphessobrycon boulengeri,610634,Actinopterygii,Animalia,Actinopterygii,Characiformes,Characidae,Hyphessobrycon,Hyphessobrycon boulengeri,,species
Hyphessobrycon igneus,610668,Actinopterygii,Animalia,Actinopterygii,Characiformes,Characidae,Hyphessobrycon,Hyphessobrycon igneus,,species
Hyphessobrycon meridionalis,610686,Actinopterygii,Animalia,Actinopterygii,Characiformes,Characidae,Hyphessobrycon,Hyphessobrycon meridionalis,,species
Oligosarcus jenynsii,71224,Actinopterygii,Animalia,Actinopterygii,Characiformes,Characidae,Oligosarcus,Oligosarcus jenynsii,Dientudo,species
Characidium pterostictum,612215,Actinopterygii,Animalia,Actinopterygii,Characiformes,Crenuchidae,Characidium,Characidium pterostictum,,species
Cyphocharax voga,98885,Actinopterygii,Animalia,Actinopterygii,Characiformes,Curimatidae,Cyphocharax,Cyphocharax voga,Sabalito,species
Rhaphiodon vulpinus,371349,Actinopterygii,Animalia,Actinopterygii,Characiformes,Cynodontidae,Rhaphiodon,Rhaphiodon vulpinus,Chafalote,species
Hoplias argentinensis,1314124,Actinopterygii,Animalia,Actinopterygii,Characiformes,Erythrinidae,Hoplias,Hoplias argentinensis,Tararira común,species
Hoplias lacerdae,614133,Actinopterygii,Animalia,Actinopterygii,Characiformes,Erythrinidae,Hoplias,Hoplias lacerdae,,species
Hoplias malabaricus,172357,Actinopterygii,Animalia,Actinopterygii,Characiformes,Erythrinidae,Hoplias,Hoplias malabaricus,Tararira,species
Apareiodon affinis,619021,Actinopterygii,Animalia,Actinopterygii,Characiformes,Parodontidae,Apareiodon,Apareiodon affinis,Virolo,species
Prochilodus lineatus,62616,Actinopterygii,Animalia,Actinopterygii,Characiformes,Prochilodontidae,Prochilodus,Prochilodus lineatus,sábalo,species
Australoheros facetus,56899,Actinopterygii,Animalia,Actinopterygii,Cichliformes,Cichlidae,Australoheros,Australoheros facetus,Chanchito,species
Cichlasoma dimerus,611343,Actinopterygii,Animalia,Actinopterygii,Cichliformes,Cichlidae,Cichlasoma,Cichlasoma dimerus,Chanchita,species
Cichlasoma portalegrense,611353,Actinopterygii,Animalia,Actinopterygii,Cichliformes,Cichlidae,Cichlasoma,Cichlasoma portalegrense,,species
Crenicichla lepidota,98639,Actinopterygii,Animalia,Actinopterygii,Cichliformes,Cichlidae,Crenicichla,Crenicichla lepidota,cabeza amarga,species
Crenicichla punctata,611458,Actinopterygii,Animalia,Actinopterygii,Cichliformes,Cichlidae,Crenicichla,Crenicichla punctata,,species
Crenicichla scottii,611464,Actinopterygii,Animalia,Actinopterygii,Cichliformes,Cichlidae,Crenicichla,Crenicichla scottii,Cabeza Amarga,species
Geophagus iporangensis,605350,Actinopterygii,Animalia,Actinopterygii,Cichliformes,Cichlidae,Geophagus,Geophagus iporangensis,,species
Gymnogeophagus australis,604990,Actinopterygii,Animalia,Actinopterygii,Cichliformes,Cichlidae,Gymnogeophagus,Gymnogeophagus australis,,species
Gymnogeophagus gymnogenys,605007,Actinopterygii,Animalia,Actinopterygii,Cichliformes,Cichlidae,Gymnogeophagus,Gymnogeophagus gymnogenys,Cará,species
